Character	Friendly links																										Hostile Links																																	Worship Links
Thord Brynjolfsson	Brynjolf Bjornarson	Bjorn Brynjolfsson	Egil Skallagrimsson																																																									
Thora of the embroidered hand	Hroald	Thorir	Bjorn Brynjolfsson	Brynjolf Bjornarson	Grim	Bera																																																						
Asgerd	Bjorn Brynjolfsson	Thora of the embroidered hand		Bera	Grim	Thorolf Skallagrimsson																																																						
Eirik Blood-axe	King Harald	Thorir	Thorolf Skallagrimsson	Bjorn Brynjolfsson	Grim	Egil Skallagrimsson																					Egil Skallagrimsson																																	
Gunnhild Ozurardottir 	Eirik Blood-axe	Thorolf Skallagrimsson	Egil Skallagrimsson																								Egil Skallagrimsson																																	
Ozur Snout	Gunnhild Ozurardottir 																																																											
Olof	Bjorn Brynjolfsson																																																											
Erling the wealthy	Olof																																																											
Gunnhild Bjarnardottir 	Olof	Bjorn Brynjolfsson	Berg-Onund	Thord Brynjolfsson	Brynjolf Bjornarson																																																							
Thorgeir Thorn-foot																																																												
Hadd	Thorgeir Thorn-foot	Berg-Onund	Atli the short																								Egil Skallagrimsson																																	
Berg-Onund	Thorgeir Thorn-foot	Atli the short	Eirik Blood-axe	Gunnhild Ozurardottir 	Egil Skallagrimsson																						Egil Skallagrimsson																																	
Atli the short	Thorgeir Thorn-foot	Egil Skallagrimsson																									Egil Skallagrimsson																																	
Ketil Blund Snooze	Grim	Thorunn Skallagrimsdottir																																																										
Geir	Ketil Blund Snooze	Grim	Thorunn Skallagrimsdottir																																																									
Blund-Ketil	Geir	Thorgeir Blund	Thorodd Hrisablund																																																									
Thorgeir Blund	Geir	Thorodd Hrisablund	Egil Skallagrimsson																																																									
Thorodd Hrisablund	Geir																																																											
Thord Granason	Grani	Thorunn Skallagrimsdottir	Egil Skallagrimsson	Grim																							Grim																																	
Grim Heggsson	Egil Skallagrimsson																										Egil Skallagrimsson																																	
Hegg	Grim Heggsson	Oleif Hjalti																																																										
Kvig	Hegg																										Oleif Hjalti																																	
Thorgerd Brak	Grim	Egil Skallagrimsson																									Grim																																	
Rannveig Thordardottir	Thord Brynjolfsson																																																											
Thord son of Rannveig	Rannveig Thordardottir																																																											
Helgi son of Rannveig	Rannveig Thordardottir	Thord son of Rannveig																																																										
Brynjolf Helgason	Helgi son of Rannveig																																																											
Serk	Brynjolf Helgason																																																											
Thord the younger																																																												
Rannveig daughter of Thord the younger	Thord the younger																																																											
Ingirid	Rannveig daughter of Thord the younger																																																											
Olaf Haraldsson the Quiet	Ingirid																																																											
Arinbjorn	Thorir	Egil Skallagrimsson	Thorolf Skallagrimsson	Asgerd	Eirik Blood-axe	Gunnhild Ozurardottir 	Thord Brynjolfsson	Berg-Onund																																																				
Olvir worker for Thorir	Thorir	Egil Skallagrimsson	Eirik Blood-axe	Thorolf Skallagrimsson																																																								
Atloy-Bard	Eirik Blood-axe	Gunnhild Ozurardottir 	Olvir worker for Thorir	Egil Skallagrimsson																							Egil Skallagrimsson																																	
Aki	Egil Skallagrimsson	Thorolf Skallagrimsson																																																										
Harald Gormsson	Eyvind Braggart																																																											
Arnfinn	Thorolf Skallagrimsson	Egil Skallagrimsson	Eirik Blood-axe																																																									
Thorvald the Overbearing	Bjorn Brynjolfsson	Thorolf Skallagrimsson	Bjorn Brynjolfsson	Egil Skallagrimsson	Thorir																																																							
Thorfinn the Strong	Thorvald the Overbearing	Thorolf Skallagrimsson	Bjorn Brynjolfsson	Egil Skallagrimsson	Thorir	Grim																																																						
Eyvind Braggart	Gunnhild Ozurardottir 	Eirik Blood-axe	Ozur Snout	Thorolf Skallagrimsson	Thorir	Thorvald the Overbearing	Thorfinn the Strong																				Thorvald the Overbearing	Egil Skallagrimsson																																
Alf Askmann	Eyvind Braggart	Gunnhild Ozurardottir 	Eirik Blood-axe	Ozur Snout	Thorolf Skallagrimsson	Thorir	Thorvald the Overbearing	Thorfinn the Strong																																																				
Alfred the Great																																																												
Edward	Alfred the Great																																																											
Athelstan the Victorious	Edward	Thorolf Skallagrimsson	Egil Skallagrimsson	Eirik Blood-axe	Egil Skallagrimsson	Arinbjorn																																																						
Hakon the Good	Athelstan the Victorious	King Harald	Eirik Blood-axe	Egil Skallagrimsson	Arinbjorn																																																							
Olaf the Red	Athelstan the Victorious																										Athelstan the Victorious																																	
Alfgeir	Athelstan the Victorious																										Olaf the Red																																	
Godric	Athelstan the Victorious																										Olaf the Red																																	
Hring	Athelstan the Victorious																										Alfgeir																																	
Adils	Athelstan the Victorious																										Alfgeir																																	Thorolf Skallagrimsson
Thordis	Asgerd	Thorolf Skallagrimsson	Egil Skallagrimsson																																																									
Thordis Thorfinnsdottir the strong	Saeunn Skallagrimsdottir	Thorfinn the Strong																																																										
Arngeir from Holm	Thordis Thorfinnsdottir the strong																																																											
Bersi the Godless	Arngeir from Holm																																																											
Bjorn Arngeirsson	Arngeir from Holm	Thordis Thorfinnsdottir the strong																																																										
Hromund	Grim Thorrisson																																																											
Gunnlaug Hromundarson	Hromund																																																											
Thurid Dylla	Gunnlaug Hromundarson																																																											
Illugi the Black	Thurid Dylla																																																											
Ketil the Slayer	Eirik Blood-axe																										Egil Skallagrimsson																																	
King Harald Eiriksson (Gunnhildarson)	Gunnhild Ozurardottir 	Eirik Blood-axe	King Harald	Arinbjorn																																																								
Frodi	Gunnhild Ozurardottir 	Eirik Blood-axe	Berg-Onund	King Harald Eiriksson (Gunnhildarson)	Hadd																						Egil Skallagrimsson																																	
Rognvald Eiriksson (Gunnhildarson)	Gunnhild Ozurardottir 	Eirik Blood-axe	Frodi	King Harald Eiriksson (Gunnhildarson)																							Egil Skallagrimsson																																	
Beard-Thorir	Gunnhild Ozurardottir 	Eirik Blood-axe	Rognvald Eiriksson (Gunnhildarson)																																																									
Thorgeir Lamb	Yngvar																																																											
Thordis Yngvarsdottir	Bera	Yngvar	Thorgeir Lamb																																																									
Thord Lambason	Thorgeir Lamb	Egil Skallagrimsson																																																										
Ragnhild Eiriksdottir (Blood-axe)	Arnfinn	Eirik Blood-axe	Arinbjorn																																																									
Eirik the All-wise																																																												
Thora Thorisdottir	Eirik the All-wise	Thorir	Arinbjorn																																																									
Thorstein Thoruson(Eiriksson the Hersir)	Eirik the All-wise	Thora Thorisdottir	Arinbjorn	Athelstan the Victorious	Egil Skallagrimsson	Hakon the Good																																																						
Fridgeir Gyduson	Egil Skallagrimsson	Egil Skallagrimsson																																																										
Gyda	Arinbjorn	Fridgeir Gyduson	Egil Skallagrimsson																																																									
Ljot the Pale	Fridgeir Gyduson	Egil Skallagrimsson																									Egil Skallagrimsson																																	
Bodvar Egilsson	Egil Skallagrimsson	Asgerd	Thorgerd Egilsdottir	Bera Egilsdottir	Gunnar Egilsson	Thorstein Egilsson																																																						
Thorgerd Egilsdottir	Egil Skallagrimsson	Asgerd	Bera Egilsdottir	Gunnar Egilsson	Thorstein Egilsson																																																							
Bera Egilsdottir	Egil Skallagrimsson	Asgerd	Gunnar Egilsson	Thorstein Egilsson																																																								
Gunnar Egilsson	Egil Skallagrimsson	Asgerd	Thorstein Egilsson																																																									
Thorstein Egilsson	Egil Skallagrimsson	Asgerd	Thorgeir Blund																																																									
King Edmund	Athelstan the Victorious																																																											
Olaf Wood-carver																																																												
Halfdan White-leg	Olaf Wood-carver																																																											
Arnald																																																												
Armod Beard	Egil Skallagrimsson																																																											
Thorfinn farmer	Egil Skallagrimsson																																																											
Helga Thorfinnsdottir	Thorfinn farmer	Egil Skallagrimsson																																																										
Helgi Thorfinnsson 	Thorfinn farmer	Egil Skallagrimsson	Helga Thorfinnsdottir																																																									
Alf the Wealthy	Thorfinn farmer	Egil Skallagrimsson	Helgi Thorfinnsson 																																																									
Earl Arnvid	Hakon the Good	Egil Skallagrimsson																									Egil Skallagrimsson																																	
Ulf brothers 1	Earl Arnvid																										Egil Skallagrimsson																																	
Ulf brothers 2	Ulf brothers 1	Earl Arnvid																									Egil Skallagrimsson																																	
Tryggvi Olafsson	Hakon the Good																																																											
Ketil Gufa(steam)																																																												
Lambi	Thord Lambason																																																											
Kori	Thormod	Svart	Ketil Gufa(steam)	Skorri																							Lambi																																	
Thormod	Svart	Ketil Gufa(steam)	Skorri																								Lambi																																	
Svart	Ketil Gufa(steam)	Skorri																									Lambi																																	
Skorri	Ketil Gufa(steam)																										Lambi																																	
Yr	Ketil Gufa(steam)																																																											
Geirmund Dark-skin	Yr																																																											
Vali	Ketil Gufa(steam)	Yr																																																										
Sverting father of Grim																																																												
Grim Svertingsson	Sverting father of Grim	Thordis	Egil Skallagrimsson	Thorstein Egilsson																																																								
Rannveig Gnupsdottir	Grim Svertingsson																																																											
Thorodd Eyvindarsson the Godi	Rannveig Gnupsdottir																																																											
Skafti Thoroddsson the lawspeaker	Thorodd Eyvindarsson the Godi	Rannveig Gnupsdottir																																																										
Olaf Hoskuldsson Peacock	Thorgerd Egilsdottir	Egil Skallagrimsson																																																										
Hoskuld	Olaf Hoskuldsson Peacock																																																											
Melkorka	Olaf Hoskuldsson Peacock	Hoskuld																																																										
King Myrkjartan	Melkorka																																																											
Kjartan Olafsson (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Thorberg Olafsson (Peacock)	Halldor Olafsson (Peacock)	Steindor Olafsson (Peacock)	Thurid Olafsdottir (Peacock)	Thorbjorg Olafsdottir (Peacock)	Bergthora Olafsdottir (Peacock)																																																				
Thorberg Olafsson (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Halldor Olafsson (Peacock)	Steindor Olafsson (Peacock)	Thurid Olafsdottir (Peacock)	Thorbjorg Olafsdottir (Peacock)	Bergthora Olafsdottir (Peacock)																																																					
Halldor Olafsson (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Steindor Olafsson (Peacock)	Thurid Olafsdottir (Peacock)	Thorbjorg Olafsdottir (Peacock)	Bergthora Olafsdottir (Peacock)																																																						
Steindor Olafsson (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Thurid Olafsdottir (Peacock)	Thorbjorg Olafsdottir (Peacock)	Bergthora Olafsdottir (Peacock)																																																							
Thurid Olafsdottir (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Thorbjorg Olafsdottir (Peacock)	Bergthora Olafsdottir (Peacock)																																																								
Thorbjorg Olafsdottir (Peacock)	Olaf Hoskuldsson Peacock	Melkorka	Bergthora Olafsdottir (Peacock)																																																									
Bergthora Olafsdottir (Peacock)	Olaf Hoskuldsson Peacock	Melkorka																																																										
Thorhall Oddason the Godi	Bergthora Olafsdottir (Peacock)																																																											
Asgeir Knattarson	Thorbjorg Olafsdottir (Peacock)																																																											
Vermund Thorgrimsson	Thorbjorg Olafsdottir (Peacock)																																																											
Gudmund	Thurid Olafsdottir (Peacock)																																																											
Solmund	Gudmund																																																											
Hall Gudmundarson	Gudmund	Thurid Olafsdottir (Peacock)																																																										
Killer-Bardi	Gudmund	Thurid Olafsdottir (Peacock)	Hall Gudmundarson																																																									
Ozur Eyvindarsson	Thorodd Eyvindarsson the Godi	Bera Egilsdottir																																																										
Einar	Osvif the wise	Egil Skallagrimsson																																																										
Helgi Ottarsson	Einar																																																											
Osvif the wise	Helgi Ottarsson																																																											
Earl Hakon Sigurdarson	Einar																										Arinbjorn	King Harald Eiriksson (Gunnhildarson)																																
Gold Harald																											Arinbjorn	King Harald Eiriksson (Gunnhildarson)																																
Thorkel Gunnvaldsson	Egil Skallagrimsson																																																											
Scarf son of Bjorn the Red	Egil Skallagrimsson																																																											
Helgi son of Bjorn the Red	Scarf son of Bjorn the Red	Egil Skallagrimsson																																																										
Gunnar Hlifarson	Helga daughter of Olaf Feilan																																																											
Jofrid	Gunnar Hlifarson	Thorstein Egilsson	Helga daughter of Olaf Feilan																																																									
Helga daughter of Olaf Feilan	Thordis daughter of Olaf Feilan	Thord Bellower	Olaf Feilan																																																									
Thorodd son of Tungu-Odd Onundarsson	Tungu-Odd Onundarsson	Jofrid																																																										
Thormod one of Thorstein Thorusson's men	Thorstein Thoruson(Eiriksson the Hersir)	Egil Skallagrimsson																																																										
Hrafn Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Hrifla Thorsteinsson (Egilsson)	Grim Thorsteinsson (Egilsson)	Skuli Thorsteinsson (Egilsson)	Thorgeir Thorsteinsson (Egilsson)	Kollsvein Thorsteinsson (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																															
Hrifla Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Grim Thorsteinsson (Egilsson)	Skuli Thorsteinsson (Egilsson)	Thorgeir Thorsteinsson (Egilsson)	Kollsvein Thorsteinsson (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																
Grim Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Skuli Thorsteinsson (Egilsson)	Thorgeir Thorsteinsson (Egilsson)	Kollsvein Thorsteinsson (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																	
Skuli Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Thorgeir Thorsteinsson (Egilsson)	Kollsvein Thorsteinsson (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																		
Thorgeir Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Kollsvein Thorsteinsson (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																			
Kollsvein Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Hjorleif Thorsteinsson (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																				
Hjorleif Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Halli Thorsteinsson (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																					
Halli Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Egil Thorsteinsson (Egilsson)	Thord Thorsteinsson (Egilsson)																																																						
Egil Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)	Thord Thorsteinsson (Egilsson)																																																							
Thord Thorsteinsson (Egilsson)	Thorstein Egilsson	Jofrid	Thora Thorsteinsdottir (Egilsson)	Helga the Fair Thorsteinsdottir (Egilsson)																																																								
Thormod Kleppjarnsson	Thora Thorsteinsdottir (Egilsson)																																																											
Thora Thorsteinsdottir (Egilsson)	Thorstein Egilsson	Jofrid	Helga the Fair Thorsteinsdottir (Egilsson)																																																									
Helga the Fair Thorsteinsdottir (Egilsson)	Thorstein Egilsson	Jofrid																																																										
Bjarni the Stout																																																												
Thorgerd daughter of Bjarni the Stout	Bjarni the Stout	Onund Sjoni																																																										
Steinar son of Onund Sjorni	Thorgerd daughter of Bjarni the Stout	Onund Sjoni	Thorstein Egilsson	Tungu-Odd Onundarsson	Egil Skallagrimsson	Lambi																																																						
Dalla son of Onund Sjorni	Thorgerd daughter of Bjarni the Stout	Onund Sjoni	Steinar son of Onund Sjorni																																																									
Ogmund Galtason	Dalla son of Onund Sjorni																																																											
Thorgils son of Ogmund	Ogmund Galtason	Dalla son of Onund Sjorni																																																										
Kormak son of Ogmund	Thorgils son of Ogmund	Ogmund Galtason	Dalla son of Onund Sjorni																																																									
Slave Grani	Steinar son of Onund Sjorni																										Thorstein Egilsson																																	
Slave Thrand	Steinar son of Onund Sjorni	Thorstein Egilsson																									Thorstein Egilsson																																	
Einar Teitsson (godi)	Steinar son of Onund Sjorni	Thorstein Egilsson																																																										
Iri	Thorstein Egilsson																																																											
Olvald	Thorstein Egilsson																																																											
Thorgeir Thorstein's kinsmen	Thorstein Egilsson																																																											
Grim son of Thorgeir Thorstein's kinsmen	Thorgeir Thorstein's kinsmen	Thorstein Egilsson																																																										
