Character	Friendly links																										Hostile Links																																	Worship Links
Rannveig in Gisli saga	Geirmund Ingjaldsson	Thorgrim son of Thora	Gisli Sursson	Aud Vesteinsdaughter																																																								
Thord the coward	Gisli Sursson	Aud Vesteinsdaughter	Vestein junior																								Bork the Stout																																	
Eyjolf the Grey	Thorgrim son of Thora	Gisli Sursson	Thorkel Sursson	Bork the Stout	Aud Vesteinsdaughter	Thordis Sursdottir																					Gisli Sursson	Aud Vesteinsdaughter																																
Snorri the Godi	Bork the Stout	Thordis Sursdottir																																																										
Audbjorg	Thorgrim Nef Nose																										Bork the Stout																																	
Thorkel Annmarki Flaw	Audbjorg																																																											
Thorstein son of Audbjorg	Audbjorg	Gisli Sursson	Bork the Stout	Thorkel Sursson	Thorkel Annmarki Flaw																																																							
Thorgeir Orri Grouse	Berg Skammfot Short-leg	Thorstein son of Audbjorg																																																										
Berg Skammfot Short-leg	Thorstein son of Audbjorg	Bork the Stout																																																										
Helgi the spy	Gisli Sursson	Eyjolf the Grey																									Gisli Sursson																																	
Thorgerd at Vidil	Gest Oddleifsson	Gisli Sursson																																																										
Ingjald of Hergilsey	Gisli Sursson	Bork the Stout																																																										
Thorgerd wife of Ingjald	Ingjald of Hergilsey	Gisli Sursson	Gisli Sursson																																																									
slave Svart 	Ingjald of Hergilsey	Thorgerd wife of Ingjald	Gisli Sursson	Helgi Ingjaldsson																																																								
slave Bothild	Ingjald of Hergilsey	Thorgerd wife of Ingjald	Gisli Sursson	Bork the Stout	slave Svart 																																																							
Helgi Ingjaldsson	Ingjald of Hergilsey	Thorgerd wife of Ingjald	Gisli Sursson	slave Svart 																																																								
Ref farmer at Haug	Gisli Sursson																																																											
Alfdis wife of Ref	Ref farmer at Haug	Gisli Sursson																																																										
Hallbjorn a wanderer	Thorkel Sursson	Berg son of Vestein	Helgi son of Vestein																																																									
Havard Gest's kinsman	Helgi the spy	Gest Oddleifsson	Aud Vesteinsdaughter																																																									
Svein Eyjolf's man	Eyjolf the Grey																										Gisli Sursson																																	
Thord Eyjolf's kinsman	Eyjolf the Grey																										Gisli Sursson																																	
Thorir Eyjolf's kinsman	Eyjolf the Grey	Thord Eyjolf's kinsman																									Gisli Sursson																																	
