Thorkel Scratcher	Thorgrim	Nereid	Thorir Ingimundarson 	Thororm at Tunga	Gudmund Eyjolfsson the Powerful																																																							
Valgerd Ottarsdottir	Ottar	Ingolf Thorsteinsson (Ingimundarson)																																																										
Halldis	Olaf from Haukagil	Asdis	Ingolf Thorsteinsson (Ingimundarson)																																																									
Thorir outlaw	Ottar	Ingolf Thorsteinsson (Ingimundarson)	Gudbrand																								Gudbrand																																	
Svart assassin from the Hebrides	Ottar	Ingolf Thorsteinsson (Ingimundarson)	Gudbrand																								Gudbrand																																	
Surt Ingolfsson (Thorsteinsson)	Halldis	Ingolf Thorsteinsson (Ingimundarson)																																																										
Hogni Ingolfsson (Thorsteinsson)	Halldis	Ingolf Thorsteinsson (Ingimundarson)	Surt Ingolfsson (Thorsteinsson)																																																									
Thorkel Silver	Thorkel Scratcher	Thorgrim																									Thorkel Scratcher																																	
Signy	Thorkel Silver																																																											
Bjorn Norwegian skipper	Thorkel Scratcher																																																											
Sigurd Hlodvesson	Bjorn Norwegian skipper	Thorkel Scratcher																																																										
Klakka-Orm	Thorgrim	Thororm at Tunga																																																										
Thorgils at Svinavatn	Klakka-Orm	Thorkel Scratcher	Gudmund Eyjolfsson the Powerful																																																									
Thorvald son of Thorgils at Svinavatn	Thorgils at Svinavatn	Klakka-Orm																																																										
Orm son of Thorgils at Svinavatn	Thorvald son of Thorgils at Svinavatn	Thorgils at Svinavatn	Thorkel Scratcher																																																									
brother of Thorgils at Svinavatn	Thorgils at Svinavatn																																																											
Glaedir	brother of Thorgils at Svinavatn	Thorkel Scratcher	Thorvald son of Thorgils at Svinavatn																								Thorkel Scratcher																																	
Sigrid Ormsdottir(daughter of Klalla-Orm)	Klakka-Orm	Thorgrim	Thorgils at Svinavatn	Thorvald son of Thorgils at Svinavatn																																																								
Avaldi	Klakka-Orm	Hallfred the troublesome Poet																																																										
Hild	Avaldi	Eyvind the proud	Hermund Eyvindarson	Hromund Eyvindarson the Lame	Thorkel Scratcher																																																							
Thordis the prophetess	Thororm at Tunga	Thorkel Scratcher																																																										
Galti Ottarsson	Ottar	Hallfred the troublesome Poet	Valgerd																																																									
Kolfinna	Hallfred the troublesome Poet																																																											
Gris Saemingsson	Kolfinna																																																											
Hermund Avaldisson	Avaldi	Galti Ottarsson	Hild																								Galti Ottarsson																																	
Bishop Frederick	Thorkel Scratcher																																																											
Thorvald Kodransson	Bishop Frederick	Thorkel Scratcher																																																										
Hauk 1																																																												
Hauk 2	Hauk 1																																																											
Fostolf																																																												
Throttolf	Fostolf																																																											
Hunrod	Thorkel Scratcher																																																											
Ulfhedin	Hunrod																																																											
Thorolf Play-godi	Hunrod	Ulfhedin	Thorkel Scratcher																																																									
Dueller-Starri	Thorolf Play-godi																																																											
Thorarin the Evil	Dueller-Starri																																																											
Bard the Peevish	Ulfhedin	Thorolf Play-godi	Dueller-Starri	Thorarin the Evil																																																								
Skum 	Hunrod																																																											
